[15:19:54] Deco:False | Orange:False | Internet:True → ❌ Deco niet bereikbaar – intern netwerkprobleem
[15:20:01] Deco:False | Orange:False | Internet:True → ❌ Deco niet bereikbaar – intern netwerkprobleem
[15:20:07] Deco:False | Orange:False | Internet:True → ❌ Deco niet bereikbaar – intern netwerkprobleem
[15:20:13] Deco:False | Orange:False | Internet:True → ❌ Deco niet bereikbaar – intern netwerkprobleem
[15:20:19] Deco:False | Orange:False | Internet:True → ❌ Deco niet bereikbaar – intern netwerkprobleem
[15:22:56] Deco:False | Orange:True | Internet:True → ❌ Lokale router niet bereikbaar – LAN-probleem
[15:23:01] Deco:False | Orange:True | Internet:True → ❌ Lokale router niet bereikbaar – LAN-probleem
[15:23:07] Deco:False | Orange:True | Internet:True → ❌ Lokale router niet bereikbaar – LAN-probleem
[15:23:12] Deco:False | Orange:True | Internet:True → ❌ Lokale router niet bereikbaar – LAN-probleem
[15:32:12] Router:False | Modem:True | Internet:True → ❌ Router niet bereikbaar – LAN-probleem
[15:32:18] Router:False | Modem:True | Internet:True → ❌ Router niet bereikbaar – LAN-probleem
[15:32:23] Router:False | Modem:True | Internet:True → ❌ Router niet bereikbaar – LAN-probleem
[15:32:29] Router:False | Modem:True | Internet:True → ❌ Router niet bereikbaar – LAN-probleem
[15:32:34] Router:False | Modem:True | Internet:True → ❌ Router niet bereikbaar – LAN-probleem
[15:32:40] Router:False | Modem:True | Internet:True → ❌ Router niet bereikbaar – LAN-probleem
[15:43:02] Router:True | Modem:True | Internet:True → ✅ Alles OK – verbinding stabiel
[15:43:07] Router:True | Modem:True | Internet:True → ✅ Alles OK – verbinding stabiel
[15:43:13] Router:True | Modem:True | Internet:True → ✅ Alles OK – verbinding stabiel
[15:43:18] Router:True | Modem:True | Internet:True → ✅ Alles OK – verbinding stabiel
[15:43:23] Router:True | Modem:True | Internet:True → ✅ Alles OK – verbinding stabiel
[15:43:28] Router:True | Modem:True | Internet:True → ✅ Alles OK – verbinding stabiel
[15:43:33] Router:True | Modem:True | Internet:True → ✅ Alles OK – verbinding stabiel
[15:43:38] Router:True | Modem:True | Internet:True → ✅ Alles OK – verbinding stabiel
[15:43:43] Router:True | Modem:True | Internet:True → ✅ Alles OK – verbinding stabiel
[15:43:48] Router:True | Modem:True | Internet:True → ✅ Alles OK – verbinding stabiel
[15:43:54] Router:True | Modem:True | Internet:True → ✅ Alles OK – verbinding stabiel
[15:43:59] Router:True | Modem:True | Internet:True → ✅ Alles OK – verbinding stabiel
[15:44:04] Router:True | Modem:True | Internet:True → ✅ Alles OK – verbinding stabiel
[15:44:09] Router:True | Modem:True | Internet:True → ✅ Alles OK – verbinding stabiel
[15:44:14] Router:True | Modem:True | Internet:True → ✅ Alles OK – verbinding stabiel
[15:44:19] Router:True | Modem:True | Internet:True → ✅ Alles OK – verbinding stabiel
[15:44:24] Router:True | Modem:True | Internet:True → ✅ Alles OK – verbinding stabiel
[15:44:29] Router:True | Modem:True | Internet:True → ✅ Alles OK – verbinding stabiel
[15:44:35] Router:True | Modem:True | Internet:True → ✅ Alles OK – verbinding stabiel
[15:44:40] Router:True | Modem:True | Internet:True → ✅ Alles OK – verbinding stabiel
[15:44:45] Router:True | Modem:True | Internet:True → ✅ Alles OK – verbinding stabiel
[15:44:50] Router:True | Modem:True | Internet:True → ✅ Alles OK – verbinding stabiel
[15:44:55] Router:True | Modem:True | Internet:True → ✅ Alles OK – verbinding stabiel
[15:45:00] Router:True | Modem:True | Internet:True → ✅ Alles OK – verbinding stabiel
[15:45:05] Router:True | Modem:True | Internet:True → ✅ Alles OK – verbinding stabiel
[15:45:11] Router:True | Modem:True | Internet:True → ✅ Alles OK – verbinding stabiel
[15:45:16] Router:True | Modem:True | Internet:True → ✅ Alles OK – verbinding stabiel
[15:45:21] Router:True | Modem:True | Internet:True → ✅ Alles OK – verbinding stabiel
[15:45:26] Router:True | Modem:True | Internet:True → ✅ Alles OK – verbinding stabiel
[15:45:32] Router:True | Modem:True | Internet:True → ✅ Alles OK – verbinding stabiel
[15:45:37] Router:True | Modem:True | Internet:True → ✅ Alles OK – verbinding stabiel
[15:45:42] Router:True | Modem:True | Internet:True → ✅ Alles OK – verbinding stabiel
[15:45:47] Router:True | Modem:True | Internet:True → ✅ Alles OK – verbinding stabiel
[15:45:52] Router:True | Modem:True | Internet:True → ✅ Alles OK – verbinding stabiel
[15:45:58] Router:True | Modem:True | Internet:True → ✅ Alles OK – verbinding stabiel
[15:46:03] Router:True | Modem:True | Internet:True → ✅ Alles OK – verbinding stabiel
[15:46:08] Router:True | Modem:True | Internet:True → ✅ Alles OK – verbinding stabiel
[15:46:13] Router:True | Modem:True | Internet:True → ✅ Alles OK – verbinding stabiel
[15:46:19] Router:True | Modem:True | Internet:True → ✅ Alles OK – verbinding stabiel
[15:46:24] Router:True | Modem:True | Internet:True → ✅ Alles OK – verbinding stabiel
[15:46:29] Router:True | Modem:True | Internet:True → ✅ Alles OK – verbinding stabiel
[15:46:34] Router:True | Modem:True | Internet:True → ✅ Alles OK – verbinding stabiel
[15:46:39] Router:True | Modem:True | Internet:True → ✅ Alles OK – verbinding stabiel
[15:46:45] Router:True | Modem:True | Internet:True → ✅ Alles OK – verbinding stabiel
[15:46:50] Router:True | Modem:True | Internet:True → ✅ Alles OK – verbinding stabiel
[15:46:55] Router:True | Modem:True | Internet:True → ✅ Alles OK – verbinding stabiel
[15:47:00] Router:True | Modem:True | Internet:True → ✅ Alles OK – verbinding stabiel
[15:47:06] Router:True | Modem:True | Internet:True → ✅ Alles OK – verbinding stabiel
[15:47:11] Router:True | Modem:True | Internet:True → ✅ Alles OK – verbinding stabiel
[15:47:16] Router:True | Modem:True | Internet:True → ✅ Alles OK – verbinding stabiel
[15:47:21] Router:True | Modem:True | Internet:True → ✅ Alles OK – verbinding stabiel
[15:47:27] Router:True | Modem:True | Internet:True → ✅ Alles OK – verbinding stabiel
[15:47:32] Router:True | Modem:True | Internet:True → ✅ Alles OK – verbinding stabiel
[15:47:37] Router:True | Modem:True | Internet:True → ✅ Alles OK – verbinding stabiel
[15:47:43] Router:True | Modem:True | Internet:True → ✅ Alles OK – verbinding stabiel
[15:47:48] Router:True | Modem:True | Internet:True → ✅ Alles OK – verbinding stabiel
[15:47:53] Router:True | Modem:True | Internet:False → 🔴 Internet down – ISP of DNS-storing
[15:48:00] Router:True | Modem:True | Internet:True → ✅ Alles OK – verbinding stabiel
[15:48:05] Router:True | Modem:True | Internet:True → ✅ Alles OK – verbinding stabiel
[15:48:10] Router:True | Modem:True | Internet:True → ✅ Alles OK – verbinding stabiel
[15:48:15] Router:True | Modem:True | Internet:True → ✅ Alles OK – verbinding stabiel
[15:48:21] Router:True | Modem:True | Internet:True → ✅ Alles OK – verbinding stabiel
[15:48:26] Router:True | Modem:True | Internet:True → ✅ Alles OK – verbinding stabiel
[15:50:31] Router:True | Modem:True | Internet:True → ✅ Alles OK – verbinding stabiel
[15:50:36] Router:True | Modem:True | Internet:True → ✅ Alles OK – verbinding stabiel
[15:50:42] Router:True | Modem:True | Internet:True → ✅ Alles OK – verbinding stabiel
[15:50:47] Router:True | Modem:True | Internet:True → ✅ Alles OK – verbinding stabiel
[15:50:52] Router:True | Modem:True | Internet:True → ✅ Alles OK – verbinding stabiel
[15:50:57] Router:True | Modem:True | Internet:True → ✅ Alles OK – verbinding stabiel
[15:51:02] Router:True | Modem:True | Internet:True → ✅ Alles OK – verbinding stabiel
[15:51:07] Router:True | Modem:True | Internet:True → ✅ Alles OK – verbinding stabiel
[15:51:13] Router:True | Modem:True | Internet:True → ✅ Alles OK – verbinding stabiel
[15:51:18] Router:True | Modem:True | Internet:True → ✅ Alles OK – verbinding stabiel
[15:51:23] Router:True | Modem:True | Internet:True → ✅ Alles OK – verbinding stabiel
[15:51:28] Router:True | Modem:True | Internet:True → ✅ Alles OK – verbinding stabiel
[15:51:34] Router:True | Modem:True | Internet:True → ✅ Alles OK – verbinding stabiel
[15:51:39] Router:True | Modem:True | Internet:True → ✅ Alles OK – verbinding stabiel
[15:57:19] Router:True | Modem:True | Internet:True → ✅ Alles OK – verbinding stabiel
[15:57:25] Router:True | Modem:True | Internet:True → ✅ Alles OK – verbinding stabiel
